id,from_card_id,to_card_id,amount,status,created_at,transaction_type,is_flagged
1,872,1196,1532152,success,2025-05-04 08:45:30,withdrawal,False
2,48,929,409484,pending,2025-03-30 00:45:30,withdrawal,False
3,710,245,14472928,success,2025-03-10 10:45:30,transfer,True
4,373,645,4600425,success,2025-03-01 20:45:30,transfer,False
5,534,561,13319150,pending,2025-03-10 21:45:30,withdrawal,False
6,691,574,10745256,success,2025-03-08 04:45:30,withdrawal,False
7,616,685,8089143,pending,2025-04-03 03:45:30,transfer,False
8,881,838,3226425,success,2025-03-21 17:45:30,deposit,False
9,202,1129,8778721,failed,2025-02-22 15:45:30,deposit,False
10,902,418,10769022,success,2025-04-23 14:45:30,withdrawal,False
11,583,1199,7284039,failed,2025-04-10 17:45:30,withdrawal,False
12,527,205,5023545,failed,2025-04-06 18:45:30,transfer,False
13,50,443,4186541,pending,2025-05-04 03:45:30,deposit,False
14,640,851,12446531,success,2025-04-13 22:45:30,deposit,False
15,249,1057,4957834,failed,2025-02-23 02:45:30,deposit,False
16,252,235,8291602,success,2025-05-04 19:45:30,transfer,False
17,673,889,1651763,success,2025-04-28 13:45:30,deposit,False
18,23,576,9780800,failed,2025-02-04 17:45:30,deposit,False
19,702,850,10459186,failed,2025-04-22 05:45:30,transfer,False
20,569,776,13641602,success,2025-03-16 00:45:30,withdrawal,False
21,474,646,8203239,failed,2025-04-18 14:45:30,withdrawal,False
22,159,490,2843344,pending,2025-05-03 16:45:30,transfer,False
23,149,987,4448592,success,2025-03-06 07:45:30,withdrawal,False
24,445,124,10414246,success,2025-03-27 23:45:30,withdrawal,False
25,265,370,3948179,pending,2025-04-23 06:45:30,transfer,False
26,605,542,730111,success,2025-04-21 04:45:30,deposit,False
27,230,1069,13867383,failed,2025-04-25 17:45:30,withdrawal,False
28,970,43,2906760,success,2025-02-14 19:45:30,deposit,False
29,537,755,6547413,failed,2025-03-04 19:45:30,transfer,False
30,84,763,228039,pending,2025-04-10 01:45:30,deposit,False
31,1060,1145,11983156,pending,2025-04-01 19:45:30,deposit,False
32,980,450,11488099,failed,2025-03-28 03:45:30,withdrawal,False
33,386,122,2731695,success,2025-04-22 05:45:30,transfer,False
34,686,453,6273383,pending,2025-02-23 09:45:30,deposit,False
35,193,460,1232352,pending,2025-02-20 09:45:30,deposit,False
36,1000,965,14489312,failed,2025-02-09 22:45:30,deposit,True
37,395,566,9346374,success,2025-05-03 16:45:30,withdrawal,False
38,1184,1015,10787641,pending,2025-03-02 15:45:30,deposit,False
39,244,102,5377243,success,2025-02-28 16:45:30,transfer,False
40,1070,663,2679793,failed,2025-02-25 19:45:30,deposit,False
41,209,758,2987554,pending,2025-05-01 08:45:30,transfer,False
42,190,260,13415605,pending,2025-02-11 11:45:30,transfer,False
43,497,8,8196713,pending,2025-02-27 04:45:30,transfer,False
44,1006,922,14851649,success,2025-03-24 14:45:30,deposit,True
45,1167,1034,3965368,pending,2025-03-13 16:45:30,transfer,False
46,189,435,7791596,pending,2025-05-04 18:45:30,transfer,False
47,35,1013,2785860,pending,2025-04-22 12:45:30,withdrawal,False
